date,acres
2013-08-29 11:35:44,1162.8263629959185
2014-08-16 11:33:45,1896.9774920678565
2015-08-03 11:33:18,3593.3689653217116
2015-08-19 11:33:26,7888.017890607468
2016-08-05 11:33:43,5845.824553189985
2016-08-21 11:33:48,1804.7875805393055
2017-08-08 11:33:42,426.4100768495805
2017-08-24 11:33:46,4059.554685776129
2018-08-11 11:33:05,272.4529576674708
2018-08-27 11:33:13,6215.310374716796
2019-08-14 11:33:49,2581.5035432737736
2019-08-30 11:33:53,5914.529856181957
2021-08-19 11:33:51,1075.0793632466869
2022-08-06 11:34:09,8603.259092443854
2023-08-09 11:33:32,4759.076175903911
2024-08-11 11:33:18,5478.744945552416
2024-08-27 11:33:26,6523.002423680773
2025-08-14 11:33:43,392.220356061211
2025-08-30 11:33:46,3477.691914642945
2013-08-04 11:41:52,1890.978357484213
2013-08-20 11:41:54,2116.1033050214205
2014-08-07 11:39:53,2149.080290855478
2015-08-10 11:39:32,2442.2652605236012
2015-08-26 11:39:39,2607.5739370543674
2016-08-12 11:39:54,2593.8918033131163
2016-08-28 11:40:02,2196.5446113932653
2017-08-31 11:39:58,2515.948539757265
2018-08-02 11:39:11,2560.0335812609687
2018-08-18 11:39:19,2182.2286911055157
2019-08-05 11:39:57,49.68228967828963
2019-08-21 11:40:02,1319.7757865925228
2020-08-07 11:39:50,213.47303396363705
2020-08-23 11:39:57,0.0
2021-08-10 11:39:59,2169.9415437303314
2021-08-26 11:40:03,1981.8087482972667
2022-08-13 11:40:23,1031.6654231439697
2022-08-29 11:40:24,1600.542890850303
2023-08-16 11:39:48,964.512108557759
2024-08-02 11:39:28,546.441561452238
2024-08-18 11:39:36,167.34375872632683
2025-08-05 11:39:50,62.17188485966114
1995-08-12 10:37:14,2320.706056197816
1995-08-28 10:36:29,4606.331829469444
1996-08-30 10:50:32,3395.8179883920566
1997-08-17 11:05:15,8886.693514088522
1998-08-20 11:12:12,9888.478025447634
1999-08-23 11:11:08,8971.117679732106
2000-08-25 11:11:29,9663.350357837911
2001-08-28 11:13:52,4804.388822213974
2002-08-15 11:08:22,6949.030190126639
2002-08-31 11:07:53,353.2977131576196
2003-08-02 11:10:26,54.125424000821646
2003-08-18 11:10:42,8716.206034515397
2004-08-04 11:16:26,5132.225934039967
2004-08-20 11:16:51,7102.705156271338
2005-08-07 11:21:41,851.3549833587163
2005-08-23 11:21:46,3929.1982083869098
2006-08-10 11:27:03,5223.467959178563
2007-08-13 11:27:04,3436.4465628269772
2008-08-15 11:19:35,4175.267734483622
2008-08-31 11:19:10,6045.428037782273
2009-08-18 11:23:03,10024.194437252176
2010-08-05 11:24:04,7967.879723105197
2010-08-21 11:23:59,336.0555478685175
2011-08-08 11:22:35,8333.88172400208
2011-08-24 11:22:27,787.6492104994012
1996-08-05 10:55:24,5065.570959994311
1996-08-21 10:56:13,0.0
1997-08-24 11:11:38,3129.2659367388
1998-08-27 11:18:29,0.3446651489840786
1999-08-30 11:17:07,0.0
2000-08-16 11:17:31,1325.3202289819794
2001-08-03 11:20:12,0.0
2001-08-19 11:20:09,516.0966300561822
2002-08-06 11:14:48,716.144603417767
2002-08-22 11:14:19,508.0578333350926
2003-08-25 11:17:02,3202.227295912052
2004-08-11 11:22:46,326.3113175593879
2004-08-27 11:23:13,2804.0022948616893
2005-08-14 11:27:54,1728.579285177984
2006-08-01 11:33:08,2514.0764156210316
2006-08-17 11:33:19,1227.824054052286
2007-08-04 11:33:20,1377.8996436187663
2008-08-06 11:26:02,54.13072866995329
2008-08-22 11:25:35,1360.498064086993
2009-08-09 11:29:05,36.67868760949792
2009-08-25 11:29:20,2217.1063128871633
2010-08-12 11:30:12,18.238033113647038
2010-08-28 11:30:09,2018.4638351277608
2011-08-31 11:28:33,1096.371418171276
